Restaurant Name,Area,Restaurant type,Ratings,Number of ratings,price,Address
Aloush,Dhanmondi,Restaurant,4.4,128,1,"RUPAYAN ZR PLAZA, Satmasjid Road Rd No 10A  In RUPAYAN ZR PLAZA"
Xenial Restaurant,Dhanmondi,Chinese,3.9,1222,2,"House no: 88, 365 রোড নং ২৭"
Storm In A Cup,Dhanmondi,Cafe,4.2,318,2,"House No: 1, 5th Floor, Aarong Top Floor, Road No: 2, Dhanmondi"
The Stubborn Goat,Dhanmondi,Restaurant,4,464,3,"MIDAS Center, House No. 05, Road No. 27 (Old, Rd No. 27"
Cafe 50,Dhanmondi,Restaurant,4.1,219,2,"13, Rangs KB Square, 49/A Satmasjid Road"
Ozz Cafe,Dhanmondi,Restaurant,3.9,2364,2,"Bangladesh Eye Hospital, House-133, Road-9/A (New) Captain Road Behind, Shankar, Dhanmondi"
The Munch Station,Dhanmondi,Restaurant,4.2,458,1,Rd 8/A  In Green Taj Center
Dominos Bangladesh,Dhanmondi,Restaurant,4.2,69,1,"275/D, Ground Floor, Rangs Nasim Square, House no, 27 Rd No :- 2"
The Forest Lounge,Dhanmondi,Restaurant,4.1,1828,3,"Imperial Amin Ahmed Centre (rooftop), House #54, Road#, 10/A Satmasjid Road"
Street Oven,Dhanmondi,Fast Food,3.9,98,1,"736 Rangs KB Square, Ground Floor , Road - 9/A, Satmasjid Road"
Izakaya,Dhanmondi,Sushi,4.5,893,3,"Green Rawshanara Tower (Level – 9) 755, Satmasjid Road, C/A"
